x,y
0.0000000000,1.4587412939
0.2040816327,3.2050443659
0.4081632653,3.4665128277
0.6122448980,4.3913973968
0.8163265306,3.6552800659
1.0204081633,5.9600195071
1.2244897959,4.8608783247
1.4285714286,5.8384060729
1.6326530612,6.3945503717
1.8367346939,7.3724219662
2.0408163265,8.5660804216
2.2448979592,9.1720818020
2.4489795918,9.7094788047
2.6530612245,8.7365417861
2.8571428571,11.5781356929
3.0612244898,10.7871125969
3.2653061224,11.7652595768
3.4693877551,13.0184095016
3.6734693878,13.0424445567
3.8775510204,14.4091396751
4.0816326531,13.0179872439
4.2857142857,15.5820276569
4.4897959184,15.0665874696
4.6938775510,16.3179210940
4.8979591837,16.1597017506
5.1020408163,16.8209905937
5.3061224490,17.9118447552
5.5102040816,18.7929950979
5.7142857143,18.8863189518
5.9183673469,20.1836373566
6.1224489796,20.2688350094
6.3265306122,20.5822257354
6.5306122449,22.0943555425
6.7346938776,22.1938110275
6.9387755102,21.8832935386
7.1428571429,23.2177650413
7.3469387755,23.7388865669
7.5510204082,24.7328009351
7.7551020408,25.7014217515
7.9591836735,25.9198886848
8.1632653061,27.5836875694
8.3673469388,26.4230741610
8.5714285714,28.0068548148
8.7755102041,29.0642599702
8.9795918367,29.3788613638
9.1836734694,30.5144422027
9.3877551020,29.9066506092
9.5918367347,29.6551175927
9.7959183673,32.2813036176
10.0000000000,31.8646776336
