x,y
0.0000000000,1.9183040083
0.0001000010,3.0218558295
0.0002000020,2.8245752718
0.0003000030,2.2292863488
0.0004000040,2.0948928282
0.0005000050,4.0560133835
0.0006000060,1.2549995798
0.0007000070,0.3538290794
0.0008000080,2.5353829561
0.0009000090,3.2810462026
0.0010000100,1.2571664904
0.0011000110,3.3036984896
0.0012000120,1.9896676970
0.0013000130,0.7503465967
0.0014000140,1.6784894028
0.0015000150,1.9169141253
0.0016000160,2.2446475391
0.0017000170,2.6269531101
0.0018000180,2.0133409843
0.0019000190,1.7370495639
0.0020000200,2.6337026615
0.0021000210,2.7060459214
0.0022000220,2.2507333285
0.0023000230,0.8128432416
0.0024000240,1.2592077310
0.0025000250,2.2001833557
0.0026000260,1.4451605157
0.0027000270,1.6475349861
0.0028000280,1.8051759217
0.0029000290,1.4381976877
0.0030000300,1.3774557107
0.0031000310,1.6117715765
0.0032000320,2.8650846017
0.0033000330,2.7748017979
0.0034000340,0.8799337745
0.0035000350,1.8192336285
0.0036000360,2.9556798900
0.0037000370,1.8124423888
0.0038000380,1.3662344484
0.0039000390,1.8470797137
0.0040000400,1.8301693230
0.0041000410,4.5265931143
0.0042000420,3.2955022558
0.0043000430,2.1392635942
0.0044000440,0.7255809650
0.0045000450,1.0826264372
0.0046000460,2.3642788180
0.0047000470,1.7350650297
0.0048000480,0.5135126407
0.0049000490,2.1242131560
0.0050000500,1.5363046194
0.0051000510,1.8467206008
0.0052000520,3.5005406280
0.0053000530,0.8453321025
0.0054000540,1.6357364629
0.0055000550,1.3167943284
0.0056000560,1.7884720481
0.0057000570,1.8465050731
0.0058000580,2.2757798949
0.0059000590,0.6923095038
0.0060000600,2.1678082958
0.0061000610,3.8684785898
0.0062000620,2.5040928773
0.0063000630,0.0010630730
0.0064000640,0.1835254942
0.0065000650,2.7167223971
0.0066000660,1.5284573988
0.0067000670,1.8638364689
0.0068000680,2.0858347694
0.0069000690,0.6598741031
0.0070000700,2.4003581710
0.0071000710,1.4929207466
0.0072000720,1.0289235157
0.0073000730,2.6974785303
0.0074000740,2.8564784006
0.0075000750,1.5528554896
0.0076000760,2.5984764362
0.0077000770,0.8009011768
0.0078000780,1.5258297989
0.0079000790,3.7220140955
0.0080000800,3.5057043686
0.0081000810,1.6152681484
0.0082000820,2.9811331567
0.0083000830,1.7965520472
0.0084000840,3.1974542184
0.0085000850,-0.1606600509
0.0086000860,2.4986659458
0.0087000870,3.2103664719
0.0088000880,0.5237158425
0.0089000890,2.5588422569
0.0090000900,1.5450314919
0.0091000910,3.0014221235
0.0092000920,1.4561614042
0.0093000930,0.9370925491
0.0094000940,1.4463981834
0.0095000950,1.4740681757
0.0096000960,3.1785130255
0.0097000970,1.3098289624
0.0098000980,2.5042920066
0.0099000990,1.9545136704
0.0100001000,0.6422919106
0.0101001010,3.1641155747
0.0102001020,2.1685205172
0.0103001030,2.0909373321
0.0104001040,1.4925555833
0.0105001050,2.7358355048
0.0106001060,2.5074641764
0.0107001070,2.7490044478
0.0108001080,2.9226443588
0.0109001090,0.5762049532
0.0110001100,1.6249388479
0.0111001110,3.2157614726
0.0112001120,3.2460163177
0.0113001130,1.8307697956
0.0114001140,1.5211106189
0.0115001150,1.5480129332
0.0116001160,1.5074678789
0.0117001170,1.1766555034
0.0118001180,1.5883208633
