x,y
0.0000000000,5.5499557546
0.2040816327,-0.1564537312
0.4081632653,1.4376329767
0.6122448980,3.5900063941
0.8163265306,4.1271652838
1.0204081633,6.6552277424
1.2244897959,4.9673751197
1.4285714286,7.9473855754
1.6326530612,8.1372861835
1.8367346939,8.2350673044
2.0408163265,8.6887990663
2.2448979592,8.0424921639
2.4489795918,13.1953354871
2.6530612245,7.3748125667
2.8571428571,14.6891956827
3.0612244898,9.9848813399
3.2653061224,12.9588174852
3.4693877551,11.8359068941
3.6734693878,13.8459388544
3.8775510204,12.8459263307
4.0816326531,14.5150525422
4.2857142857,14.1198635493
4.4897959184,13.1583470685
4.6938775510,14.7904637807
4.8979591837,17.9761768798
5.1020408163,19.1675203079
5.3061224490,17.8405946453
5.5102040816,17.3497237295
5.7142857143,17.7612921152
5.9183673469,22.1451083049
6.1224489796,23.3256965128
6.3265306122,19.5924521403
6.5306122449,22.6502738194
6.7346938776,23.2707700879
6.9387755102,24.3799998927
7.1428571429,20.4672004540
7.3469387755,24.4978578899
7.5510204082,24.2987318710
7.7551020408,25.3156778411
7.9591836735,27.6685332579
8.1632653061,24.5808758651
8.3673469388,29.2829249000
8.5714285714,24.2722820313
8.7755102041,26.9211043528
8.9795918367,28.0886369473
9.1836734694,31.7936228674
9.3877551020,29.6725200432
9.5918367347,30.7408174711
9.7959183673,32.1637299084
10.0000000000,29.3530922847
