x,y
0.0000000000,1.9915905719
0.2040816327,2.6758888096
0.4081632653,3.2067340918
0.6122448980,3.8007822176
0.8163265306,4.5506508322
1.0204081633,5.2696238936
1.2244897959,5.5298021642
1.4285714286,6.2191544480
1.6326530612,6.9535204170
1.8367346939,7.6058142518
2.0408163265,8.0683594653
2.2448979592,8.7729346669
2.4489795918,9.3174181653
2.6530612245,10.1237196471
2.8571428571,10.5682866737
3.0612244898,11.0395727151
3.2653061224,11.7310686580
3.4693877551,12.4595283890
3.6734693878,12.8435215241
3.8775510204,13.6950318906
4.0816326531,14.2754473296
4.2857142857,14.9824367264
4.4897959184,15.5010267820
4.6938775510,16.1642825883
4.8979591837,16.7190414447
5.1020408163,17.1605558347
5.3061224490,17.8455063838
5.5102040816,18.5657063038
5.7142857143,19.2079825337
5.9183673469,19.6321325264
6.1224489796,20.3685828835
6.3265306122,21.0933756083
6.5306122449,21.5243334988
6.7346938776,22.1158100326
6.9387755102,22.8162901749
7.1428571429,23.5092696651
7.3469387755,24.1874298811
7.5510204082,24.4786780610
7.7551020408,25.3142887546
7.9591836735,25.7867143858
8.1632653061,26.4450622976
8.3673469388,27.2229647790
8.5714285714,27.5301265625
8.7755102041,28.4241534541
8.9795918367,28.7403199231
9.1836734694,29.7047169616
9.3877551020,30.3200938491
9.5918367347,30.8367027541
9.7959183673,31.2582343237
10.0000000000,32.1412731542
