x,y
0.0000000000,3.9787138337
0.1010101010,1.3452331172
0.2020202020,1.0869797504
0.3030303030,3.8628206654
0.4040404040,2.6344051789
0.5050505051,3.0303145241
0.6060606061,3.7314342647
0.7070707071,5.9995271147
0.8080808081,4.9402393068
0.9090909091,5.2427752851
1.0101010101,6.1284526959
1.1111111111,7.1967755372
1.2121212121,6.2322113469
1.3131313131,4.2229062071
1.4141414141,6.0869858650
1.5151515152,6.4746685954
1.6161616162,5.7602701849
1.7171717172,8.2805072646
1.8181818182,9.0258792957
1.9191919192,7.3361247476
2.0202020202,8.3161997979
2.1212121212,8.6041948505
2.2222222222,9.1416538236
2.3232323232,8.9883496759
2.4242424242,9.0973293615
2.5252525253,9.7496949886
2.6262626263,9.8041360306
2.7272727273,11.5266197047
2.8282828283,9.8351201324
2.9292929293,10.5418876775
3.0303030303,9.6331132691
3.1313131313,13.8009160378
3.2323232323,11.7546707248
3.3333333333,12.3018405555
3.4343434343,11.8506677886
3.5353535354,12.6320071664
3.6363636364,11.3277035021
3.7373737374,13.8451988393
3.8383838384,15.1128184615
3.9393939394,13.4890068493
4.0404040404,14.1399434861
4.1414141414,14.5157504413
4.2424242424,14.6085500435
4.3434343434,15.9474481493
4.4444444444,14.3769468199
4.5454545455,15.5418591504
4.6464646465,15.0018667447
4.7474747475,17.3870481990
4.8484848485,17.6301111514
4.9494949495,16.8269701320
5.0505050505,18.8306063121
5.1515151515,18.1776054723
5.2525252525,16.3104471699
5.3535353535,18.0750282719
5.4545454545,18.6037338026
5.5555555556,19.2001243615
5.6565656566,20.0516270726
5.7575757576,20.9187593401
5.8585858586,19.4359724121
5.9595959596,20.0982065586
6.0606060606,20.6449938818
6.1616161616,20.5551324073
6.2626262626,22.1991623526
6.3636363636,21.0350601381
6.4646464646,21.8129239512
6.5656565657,23.1797129351
6.6666666667,21.5131751709
6.7676767677,23.4141343382
6.8686868687,21.6297545660
6.9696969697,24.9526437604
7.0707070707,23.9342565283
7.1717171717,23.9061599793
7.2727272727,23.1530406697
7.3737373737,23.6840398073
7.4747474747,23.2463394671
7.5757575758,26.2673954931
7.6767676768,24.9018037009
7.7777777778,26.3798084253
7.8787878788,26.5882713633
7.9797979798,26.0234208930
8.0808080808,25.7836416632
8.1818181818,26.3041789927
8.2828282828,25.9894336327
8.3838383838,28.2023806810
8.4848484848,27.4399131919
8.5858585859,28.8099158728
8.6868686869,27.9607345121
8.7878787879,28.3647460896
8.8888888889,29.4888661259
8.9898989899,31.0378083375
9.0909090909,30.2662995598
9.1919191919,27.6506279163
9.2929292929,27.1002638269
9.3939393939,29.3756380774
9.4949494949,31.2338305910
9.5959595960,30.1496522997
9.6969696970,31.3233236789
9.7979797980,31.7976411775
9.8989898990,33.8680829285
10.0000000000,29.5507881417
