x,y
0.0000000000,1.5507380297
0.0100100100,3.5286817172
0.0200200200,0.5963320922
0.0300300300,0.7950017919
0.0400400400,4.3872223764
0.0500500501,2.7036500311
0.0600600601,2.8370604157
0.0700700701,0.9033132340
0.0800800801,2.8185080199
0.0900900901,0.5183059904
0.1001001001,2.1863008499
0.1101101101,1.9948719713
0.1201201201,1.9337553294
0.1301301301,3.2768707509
0.1401401401,2.5577997684
0.1501501502,3.7088075270
0.1601601602,2.2983198909
0.1701701702,3.2212732683
0.1801801802,3.8058950941
0.1901901902,1.9128244734
0.2002002002,1.2301794716
0.2102102102,2.7700124020
0.2202202202,0.2462549149
0.2302302302,0.5441632837
0.2402402402,1.2527360328
0.2502502503,3.4697610675
0.2602602603,3.1509836055
0.2702702703,3.3155651107
0.2802802803,3.1187970113
0.2902902903,1.7314913023
0.3003003003,2.7166290792
0.3103103103,1.4093058462
0.3203203203,3.2195893939
0.3303303303,3.4799884151
0.3403403403,2.4830388961
0.3503503504,3.3202290196
0.3603603604,4.4791523011
0.3703703704,2.3268570184
0.3803803804,2.7428509560
0.3903903904,3.2368178127
0.4004004004,2.1918280288
0.4104104104,1.4244753402
0.4204204204,1.5898900560
0.4304304304,3.2093954670
0.4404404404,2.2731407192
0.4504504505,4.9324144610
0.4604604605,1.3226714031
0.4704704705,4.4615152019
0.4804804805,3.1357890369
0.4904904905,3.3318718368
0.5005005005,3.5106896376
0.5105105105,2.3925476678
0.5205205205,2.5153523118
0.5305305305,3.9782765646
0.5405405405,2.3548283811
0.5505505506,3.7904855065
0.5605605606,2.2676089088
0.5705705706,1.1225658074
0.5805805806,3.2228642923
0.5905905906,4.5734852282
0.6006006006,2.1784809544
0.6106106106,4.3391090101
0.6206206206,3.0684320069
0.6306306306,5.1419998376
0.6406406406,2.4221900439
0.6506506507,3.9110663680
0.6606606607,4.2333362400
0.6706706707,5.4191343635
0.6806806807,5.3353426518
0.6906906907,3.2353004630
0.7007007007,3.9013507675
0.7107107107,5.9399812747
0.7207207207,4.8394340644
0.7307307307,5.9833001569
0.7407407407,3.6450797814
0.7507507508,4.6614384574
0.7607607608,5.0679454785
