x,y
0.0000000000,2.0741432912
0.2040816327,1.4003232044
0.4081632653,3.8734605627
0.6122448980,4.2351233388
0.8163265306,4.6614495336
1.0204081633,5.7137743712
1.2244897959,7.0300805702
1.4285714286,6.9667626047
1.6326530612,6.0211552716
1.8367346939,5.9674592816
2.0408163265,10.0216734105
2.2448979592,9.4412402917
2.4489795918,9.6126896290
2.6530612245,9.9404453720
2.8571428571,10.4474858454
3.0612244898,11.1929551775
3.2653061224,12.4234372584
3.4693877551,12.9286503956
3.6734693878,11.6893004093
3.8775510204,11.2125515593
4.0816326531,14.5955640328
4.2857142857,15.3022822210
4.4897959184,15.5583389299
4.6938775510,14.8208521275
4.8979591837,16.3953991497
5.1020408163,16.6212382795
5.3061224490,17.5048207093
5.5102040816,16.9487058873
5.7142857143,19.8872907990
5.9183673469,18.9076683093
6.1224489796,21.3064756728
6.3265306122,19.5632246056
6.5306122449,21.3251131582
6.7346938776,23.8312645810
6.9387755102,23.9749438890
7.1428571429,23.9744317602
7.3469387755,23.2348082232
7.5510204082,24.9185963985
7.7551020408,23.8603359596
7.9591836735,25.2848743723
8.1632653061,27.1549186254
8.3673469388,27.5977555058
8.5714285714,27.4830699025
8.7755102041,27.5148072808
8.9795918367,28.7839884972
9.1836734694,29.1589081169
9.3877551020,30.2455926426
9.5918367347,30.6250092019
9.7959183673,31.1010869887
10.0000000000,32.1424948747
